,ds,y
528,2023-03-03,892
529,2023-03-04,1182
530,2023-03-05,15566
531,2023-03-06,15651
532,2023-03-07,14870
533,2023-03-08,14610
534,2023-03-09,13053
535,2023-03-10,1143
536,2023-03-11,1345
537,2023-03-12,13227
538,2023-03-13,15107
539,2023-03-14,5373
540,2023-03-15,22314
541,2023-03-16,13333
542,2023-03-17,726
543,2023-03-18,1009
544,2023-03-19,15507
545,2023-03-20,15774
546,2023-03-21,16938
547,2023-03-22,16423
548,2023-03-23,14144
549,2023-03-24,1824
550,2023-03-25,1589
551,2023-03-26,17479
552,2023-03-27,16384
553,2023-03-28,14154
554,2023-03-29,13396
555,2023-03-30,15403
556,2023-03-31,721
557,2023-04-01,1177
558,2023-04-02,16103
559,2023-04-03,14593
560,2023-04-04,14943
561,2023-04-05,14234
562,2023-04-06,12795
563,2023-04-07,1068
564,2023-04-08,1106
565,2023-04-09,13932
566,2023-04-10,15308
567,2023-04-11,13912
568,2023-04-12,14101
569,2023-04-13,12280
570,2023-04-14,592
571,2023-04-15,958
572,2023-04-16,15450
573,2023-04-17,15596
574,2023-04-18,15037
575,2023-04-19,14444
576,2023-04-20,15336
577,2023-04-21,1321
578,2023-04-22,1081
579,2023-04-23,18128
580,2023-04-24,19776
581,2023-04-25,15118
582,2023-04-26,13375
583,2023-04-27,7411
584,2023-04-28,648
585,2023-04-29,874
586,2023-04-30,13099
587,2023-05-01,15613
588,2023-05-02,15334
589,2023-05-03,14225
590,2023-05-04,12696
591,2023-05-05,950
592,2023-05-06,38134
593,2023-05-07,13490
594,2023-05-08,12583
595,2023-05-09,16100
596,2023-05-10,17533
597,2023-05-11,15227
598,2023-05-12,15059
599,2023-05-13,14369
600,2023-05-14,14946
601,2023-05-15,930
602,2023-05-16,1258
603,2023-05-17,13974
604,2023-05-18,15838
605,2023-05-19,18646
606,2023-05-20,16338
607,2023-05-21,15112
608,2023-05-22,3373
609,2023-05-23,3396
610,2023-05-24,17462
611,2023-05-25,18645
612,2023-05-26,16754
613,2023-05-27,16403
614,2023-05-28,15075
615,2023-05-29,2729
616,2023-05-30,3004
617,2023-05-31,17595
618,2023-06-01,17297
619,2023-06-02,17924
620,2023-06-03,13411
621,2023-06-04,6182
622,2023-06-05,353
623,2023-06-06,429
624,2023-06-07,7345
625,2023-06-08,7137
626,2023-06-09,6083
627,2023-06-10,36909
628,2023-06-11,36566
629,2023-06-12,2866
630,2023-06-13,2672
631,2023-06-14,7331
632,2023-06-15,18184
633,2023-06-16,17612
634,2023-06-17,14775
635,2023-06-18,19221
636,2023-06-19,1730
